"QueryName","CurrencyCode","ServiceName","ProductName","SkuName","ArmSkuName","MeterName","ServiceFamily","UnitOfMeasure","TierMinimumUnits","PriceType","ReservationTerm","West Europe","Sweden Central","Italy North","Germany West Central","Spain Central","Switzerland North","Belgium Central","France Central","Norway East","Austria East","Denmark East","Poland Central"
"Azure SQL General Purpose Gen5 vCore","USD","SQL Database","SQL Database Single/Elastic Pool General Purpose - Compute Gen5","vCore","SQLDB_GP_Compute_Gen5","vCore","Databases","1 Hour","0.0","Consumption",,"0.167439","0.167439","0.167439","0.167439","0.167439","0.184183","0.167439","0.190271","0.184182","0.167439","0.167439","0.184183"
"Azure SQL Business Critical Gen5 vCore","USD","SQL Database","SQL Database Single/Elastic Pool Business Critical - Compute Gen5","vCore","SQLDB_BC_Compute_Gen5","vCore","Databases","1 Hour","0.0","Consumption",,"0.334879","0.334879","0.334879","0.334879","0.334879","0.368367","0.334879","0.380544","0.368366","0.334879","0.334879","0.334879"
"Azure SQL General Purpose Data Stored","USD","SQL Database","SQL Database Single/Elastic Pool General Purpose - Storage","General Purpose","","General Purpose Data Stored","Databases","1 GB/Month","0.0","Consumption",,"0.13685","0.13685","0.13685","0.137","0.13685","0.164","0.137","0.14375","0.151","0.137","0.137","0.137"
"Azure SQL PITR Backup LRS","USD","SQL Database","SQL Database Single/Elastic Pool PITR Backup Storage","Backup LRS","","LRS Data Stored","Databases","1 GB/Month","0.0","Consumption",,"0.119","0.119","0.119","0.119","0.119","0.1309","0.119","0.125","0.131","0.119","0.119","0.119"
"SQL MI General Purpose Gen5 vCore","USD","SQL Managed Instance","SQL Managed Instance General Purpose - Compute Gen5","vCore","SQLMI_GP_Compute_Gen5","vCore","Databases","1 Hour","0.0","Consumption",,"0.167439","0.167439","0.167439","0.167439","0.167439","0.184183","0.167439","0.190272","0.184182","0.167439","0.167439","0.167439"
"SQL MI Business Critical Gen5 vCore","USD","SQL Managed Instance","SQL Managed Instance Business Critical - Compute Gen5","vCore","SQLMI_BC_Compute_Gen5","vCore","Databases","1 Hour","0.0","Consumption",,"0.334879","0.334879","0.334879","0.334879","0.334879","0.401854","0.334879","0.380544","0.368366","0.334879","0.334879","0.334879"
"SQL MI General Purpose Data Stored","USD","SQL Managed Instance","SQL Managed Instance General Purpose - Storage","General Purpose","","General Purpose Data Stored","Databases","1 GB/Month","0.0","Consumption",,"0.13685","0.13685","0.13685","0.137","0.13685","0.164","0.137","0.14375","0.151","0.137","0.137","0.137"
"SQL MI Additional IOPS","USD","SQL Managed Instance","SQL Managed Instance General Purpose - Storage","Additional IOPS","Additional IOPS","Additional IOPS","Databases","1 IOPS/Month","0.0","Consumption",,"0.0475","0.0494","0.04522","0.0494","0.0494","0.0532","0.0494","0.0456","0.0532","0.0494","0.0494","0.0475"
"SQL MI PITR Backup LRS","USD","SQL Managed Instance","SQL Managed Instance PITR Backup Storage","Backup LRS","","LRS Data Stored","Databases","1 GB/Month","0.0","Consumption",,"0.119","0.119","0.119","0.119","0.119","0.1309","0.119","0.125","0.131","0.119","0.119","0.119"
"PostgreSQL Flexible Server Ddsv5 vCore","USD","Azure Database for PostgreSQL","Azure Database for PostgreSQL Flexible Server General Purpose Ddsv5 Series Compute","vCore","AzureDB_PostgreSQL_Flexible_Server_General_Purpose_Ddsv5Series_Compute_vCore","vCore","Databases","1 Hour","0.0","Consumption",,"0.106","0.0935","0.106","0.106","0.106","0.13","0.106","0.103","0.119","0.106","0.106","0.106"
